iso_code,continent,location,date,total_cases
IND,Asia,India,25-04-2020,26283
IND,Asia,India,26-04-2020,27890
IND,Asia,India,27-04-2020,29451
IND,Asia,India,28-04-2020,31324
IND,Asia,India,29-04-2020,33062
IND,Asia,India,30-04-2020,34863
IND,Asia,India,01-05-2020,37257
IND,Asia,India,02-05-2020,39699
IND,Asia,India,03-05-2020,42505
IND,Asia,India,04-05-2020,46437
IND,Asia,India,05-05-2020,49400
IND,Asia,India,06-05-2020,52987
IND,Asia,India,07-05-2020,56351
IND,Asia,India,08-05-2020,59695
IND,Asia,India,09-05-2020,62808
